tweet_id,replies
1.03923462794319E+018,[1039236573248798721]
1.03923464177601E+018,[]
1.03923466783522E+018,[]
1.03923485211196E+018,[]
1.03923508105378E+018,[]
1.03923511512425E+018,[]
1.03923519006386E+018,[]
1.03923520178694E+018,"[1039237423828488194, 1039243013095129090]"
1.03923528245175E+018,[]
1.03923528505634E+018,[]
1.03923531337642E+018,[]
1.03923531388806E+018,[]
1.03923538351774E+018,[]
1.03923582090398E+018,[]
1.03923601573776E+018,[]
1.03923605388918E+018,[]
1.03923612453784E+018,[]
1.03923619290505E+018,[]
1.03923631011076E+018,[]
1.03923631695585E+018,[]
1.03923643367898E+018,[]
1.03923653354556E+018,[]
1.03923672115658E+018,[]
1.03923687496192E+018,[]
1.03923707885123E+018,[]
1.03923709960879E+018,[]
1.03923718658612E+018,[]
1.03923723804606E+018,[]
1.03923731923517E+018,[]
1.03923740590203E+018,[]
1.03923746944999E+018,[]
1.03923747597631E+018,[]
1.03923753272508E+018,[1039954300871561216]
1.03923754057701E+018,[]
1.03923755852857E+018,[]
1.03923760305516E+018,[]
1.03923760938023E+018,[]
1.03923769417228E+018,[]
1.03923817763726E+018,[]
1.03923818984268E+018,[]
1.03923835470393E+018,[]
1.0392385799758E+018,[]
1.03923860630748E+018,[]
1.03923924662671E+018,[]
1.03923964006103E+018,[]
1.03923978061636E+018,[]
1.03923996914187E+018,[]
1.0392399781555E+018,[]
1.03924017424333E+018,[]
1.03924036510498E+018,[]
1.03924037294014E+018,[]
1.0392404634364E+018,[]
1.0392405006022E+018,[]
1.03924066845404E+018,[]
1.03924073679183E+018,[]
1.03924086968836E+018,[]
1.03924129360665E+018,[]
1.03924136938515E+018,[]
1.03924150975592E+018,[]
1.0392416000591E+018,[]
1.03924165997906E+018,[]
1.03924175003076E+018,[]
1.03924190032952E+018,[]
1.03924192018534E+018,[]
1.03924208219447E+018,[]
1.03924211391187E+018,[]
1.03924214905172E+018,[]
1.03924214978995E+018,[]
1.03924216419319E+018,[]
1.03924216818609E+018,[]
1.03924225618267E+018,[]
1.03924227656272E+018,[]
1.0392424040948E+018,[]
1.03924240965224E+018,[]
1.03924241681172E+018,[]
1.03924278318011E+018,[]
1.03924293325238E+018,[]
1.03924295677816E+018,[]
1.03924302145019E+018,[]
1.03924314696043E+018,[]
1.03924332703459E+018,[]
1.03924338391349E+018,[]
1.03924339625298E+018,[]
1.03924345070785E+018,[]
1.03924375189649E+018,[]
1.0392438819787E+018,[]
1.03924406243024E+018,[]
1.03924416293409E+018,[]
1.03924420959586E+018,[]
1.03924422893577E+018,[]
1.03924426474255E+018,[]
1.03924437157988E+018,[]
1.03924437356798E+018,[]
1.03924443240975E+018,[]
1.03924443921297E+018,[]
1.03924460571833E+018,[]
1.03924461375466E+018,[]
1.03924464920506E+018,[]
1.03924467123352E+018,[]
1.03924469389954E+018,[]
1.03924480688991E+018,[]
1.03924514807976E+018,[]
1.03924520260153E+018,[]
1.03924558217338E+018,"[1039245584258002946, 1039304054130843649]"
1.03924571549358E+018,[]
1.03924574178344E+018,[]
1.03924576220534E+018,[]
1.03924585435863E+018,[]
1.03924589967386E+018,[]
1.0392459078065E+018,[]
1.03924597661406E+018,[]
1.03924614522088E+018,[]
1.0392461703658E+018,[]
1.03924633181296E+018,[]
1.03924645449208E+018,[1039250736490655745]
1.03924656822075E+018,[]
1.03924662800218E+018,[]
1.03924738815246E+018,[]
1.03924750674224E+018,[]
1.03924750908273E+018,[]
1.03924783256436E+018,[]
1.03924799386044E+018,[]
1.0392480298726E+018,[]
1.03924814496444E+018,[]
1.03924817878317E+018,[]
1.03924822741607E+018,[]
1.03924827501727E+018,[]
1.03924833403954E+018,[]
1.03924842875512E+018,[]
1.039248459663E+018,[]
1.03924855253339E+018,[]
1.03924875143982E+018,[]
1.0392487646729E+018,[]
1.03924880045033E+018,[]
1.03924901563908E+018,[]
1.03924926501557E+018,[]
1.0392494427576E+018,[]
1.03924946225271E+018,[]
1.03924965511941E+018,[]
1.03924968696263E+018,[1039255671953403905]
1.03924969037672E+018,[]
1.03924969648789E+018,[]
1.03924969874862E+018,[]
1.03924972970258E+018,[]
1.03924974189955E+018,[]
1.03924980555654E+018,[]
1.03924981597103E+018,[]
1.03924985334646E+018,[]
1.03924991304819E+018,[]
1.03925009044201E+018,[]
1.03925016052457E+018,[]
1.03925016392627E+018,[]
1.0392502216525E+018,[]
1.03925031227449E+018,[]
1.03925060127895E+018,[]
1.03925063945968E+018,[]
1.03925070682441E+018,[]
1.03925079438884E+018,[1039957815245328386]
1.03925080930805E+018,[]
1.03925090302136E+018,[]
1.03925092793121E+018,[]
1.039250930838E+018,[]
1.03925096318445E+018,[]
1.0392510610417E+018,[]
1.03925106695136E+018,[]
1.03925111631409E+018,[]
1.03925116433484E+018,[1039371560661012480]
1.03925129250422E+018,[]
1.03925133547509E+018,[]
1.03925140371641E+018,[]
1.03925155104966E+018,[]
1.0392515907194E+018,[]
1.03925166662371E+018,[]
1.03925168015027E+018,[]
1.03925186426355E+018,[]
1.03925198466526E+018,[]
1.03925200374929E+018,[]
1.03925205184544E+018,[]
1.0392521879253E+018,[]
1.03925223215854E+018,[]
1.03925253253761E+018,[]
1.03925256545047E+018,[]
1.03925258643043E+018,[]
1.03925274147276E+018,[]
1.03925279245465E+018,[]
1.03925281510391E+018,[]
1.03925286108604E+018,[]
1.03925312329284E+018,[]
1.03925323109916E+018,[]
1.03925324453771E+018,[1039313341980848128]
1.03925347193177E+018,[]
1.03925357262869E+018,"[1039550160647450624, 1039468308934938625, 1039254736975872001, 1039473238655619072]"
1.03925368683965E+018,[]
1.03925378325411E+018,[]
1.03925383741518E+018,[]
1.03925388647161E+018,[]
1.03925405010407E+018,[]
1.0392542888061E+018,[]
1.03925442460516E+018,[]
1.03925443992272E+018,[]
1.03925444873917E+018,[]
1.03925454186524E+018,[]
1.03925471564365E+018,[]
1.03925485540211E+018,[]
1.03925491916379E+018,[]
1.03925495260089E+018,[]
1.03925513187798E+018,[]
1.03925519918403E+018,[]
1.03925521804583E+018,[]
1.03925541857951E+018,[]
1.03925543581408E+018,[]
1.03925558959393E+018,[]
1.03925583048126E+018,[]
1.03925586427903E+018,[]
1.03925588512052E+018,[]
1.03925588882409E+018,[]
1.03925596101644E+018,[]
1.03925619478177E+018,[]
1.03925629157375E+018,[]
1.03925636609375E+018,[]
