tweet_id,retweets
1.03923462794319E+018,[]
1.03923464177601E+018,[]
1.03923466783522E+018,[]
1.03923473903778E+018,[]
1.03923485211196E+018,[]
1.03923508105378E+018,[]
1.03923511512425E+018,[]
1.03923518148633E+018,[]
1.03923519006386E+018,[]
1.03923520178694E+018,[]
1.03923528245175E+018,[]
1.03923528505634E+018,[]
1.03923531337642E+018,[]
1.03923531388806E+018,[]
1.03923538351774E+018,[]
1.03923561575216E+018,[]
1.03923577117204E+018,[]
1.03923582090398E+018,[]
1.03923583343653E+018,[]
1.03923588899012E+018,[]
1.03923592039692E+018,[]
1.03923601573776E+018,[]
1.03923605388918E+018,[]
1.03923612453784E+018,[]
1.03923619290505E+018,[]
1.03923631011076E+018,[]
1.03923631695585E+018,[]
1.03923643367898E+018,[]
1.03923653354556E+018,[]
1.0392365732488E+018,[]
1.03923672115658E+018,[]
1.03923675439664E+018,[]
1.03923676680761E+018,[]
1.03923687496192E+018,[]
1.03923707885123E+018,[]
1.03923709960879E+018,[]
1.03923718658612E+018,[]
1.03923723804606E+018,[]
1.03923730944569E+018,[]
1.03923731923517E+018,[]
1.03923738269499E+018,[]
1.03923740590203E+018,[]
1.03923742382849E+018,[]
1.03923744034565E+018,[]
1.03923746944999E+018,[]
1.03923747597631E+018,[]
1.03923749366791E+018,[]
1.03923753272508E+018,[]
1.03923754057701E+018,[]
1.03923755852857E+018,[]
1.03923760305516E+018,[]
1.03923760938023E+018,[]
1.03923761796604E+018,[]
1.03923769417228E+018,[]
1.03923817763726E+018,[]
1.03923818984268E+018,[]
1.03923835470393E+018,[]
1.03923857498038E+018,[]
1.0392385799758E+018,[]
1.03923860630748E+018,[]
1.03923868025746E+018,[]
1.03923868297533E+018,[]
1.03923895922063E+018,[]
1.03923924662671E+018,[]
1.03923939698014E+018,[]
1.03923940427403E+018,[]
1.03923945466021E+018,[]
1.03923946212189E+018,[]
1.03923960602427E+018,[]
1.03923964006103E+018,[]
1.03923978061636E+018,[]
1.03923996914187E+018,[]
1.03923997183881E+018,[]
1.0392399781555E+018,[]
1.03924000858515E+018,[]
1.03924009856551E+018,[]
1.03924017424333E+018,[]
1.03924036510498E+018,[]
1.03924037294014E+018,[]
1.0392404634364E+018,[]
1.0392405006022E+018,[]
1.03924066845404E+018,[]
1.03924073679183E+018,[]
1.03924086968836E+018,[]
1.03924103689842E+018,[]
1.03924117265539E+018,[]
1.03924129360665E+018,[]
1.03924136938515E+018,[]
1.03924148747153E+018,[]
1.03924150975592E+018,[]
1.0392416000591E+018,[]
1.03924164032874E+018,[]
1.03924165997906E+018,[]
1.03924175003076E+018,[]
1.03924190032952E+018,[]
1.03924192018534E+018,[]
1.03924197127615E+018,[]
1.03924207686777E+018,[]
1.03924208219447E+018,[]
1.03924211391187E+018,[]
1.03924214905172E+018,[]
1.03924214978995E+018,[]
1.03924216419319E+018,[]
1.03924216818609E+018,[]
1.03924225618267E+018,[]
1.03924227656272E+018,[]
1.0392424040948E+018,[]
1.03924240965224E+018,[]
1.03924241681172E+018,[]
1.03924276397858E+018,[]
1.03924278318011E+018,[]
1.03924293325238E+018,[]
1.03924295677816E+018,[]
1.03924298509811E+018,[]
1.03924301309513E+018,[]
1.03924302145019E+018,[]
1.03924309537475E+018,[]
1.03924314696043E+018,[]
1.03924322241609E+018,[]
1.03924332703459E+018,[]
1.03924338391349E+018,[]
1.03924339625298E+018,[]
1.03924345070785E+018,[]
1.03924354363686E+018,[]
1.03924375189649E+018,[]
1.0392438819787E+018,[]
1.03924401720313E+018,[]
1.03924406243024E+018,[]
1.03924416293409E+018,[]
1.03924420325405E+018,[]
1.03924420959586E+018,[]
1.03924422893577E+018,[]
1.03924426474255E+018,[]
1.03924437157988E+018,[]
1.03924437356798E+018,[]
1.03924443240975E+018,[]
1.03924443921297E+018,[]
1.03924460571833E+018,[]
1.03924461375466E+018,[]
1.03924464920506E+018,[]
1.03924467123352E+018,[]
1.03924469389954E+018,[]
1.03924480688991E+018,[]
1.03924506124929E+018,[]
1.03924511879095E+018,[]
1.03924514807976E+018,[]
1.03924520260153E+018,[]
1.03924522741496E+018,[]
1.03924555636568E+018,[]
1.03924558217338E+018,[]
1.039245584258E+018,[]
1.03924558814607E+018,[]
1.03924571549358E+018,[]
1.03924574178344E+018,[]
1.03924576220534E+018,[]
1.03924579060519E+018,[]
1.0392457988805E+018,[]
1.03924585435863E+018,[]
1.03924589967386E+018,[]
1.0392459078065E+018,[]
1.03924597661406E+018,[]
1.03924614522088E+018,[]
1.0392461703658E+018,[]
