tweet_id,Count
[1039257383732539392],34
[1039257420080586754],28
[1039257524497727488],24
[1039257637890617346],18
[1039257638188539904],33
[1039257669909897216],23
[1039257690436825089],31
[1039257915218178048],28
[1039258363933143040],46
[1039258429724999682],22
[1039258587351207938],19
[1039258649879867392],18
[1039258724903333888],26
[1039258911365259264],68
[1039259152965664768],26
[1039259174083809281],34
[1039259349636599809],53
[1039259734724038658],21
[1039259828789669891],22
[1039259851354980353],19
[1039259865460473856],23
[1039260017075974146],37
[1039260084180725760],25
[1039260234999640064],22
[1039260242373160961],14
[1039260327035187200],32
[1039260348048662530],14
[1039260363844472832],15
[1039260453120163842],38
[1039260594052857857],31
[1039260613783027713],28
[1039260625619353600],71
[1039260625820680199],35
[1039260722268721159],25
[1039260812383268864],7
[1039260846726107136],26
[1039260854326312962],26
[1039260948681371649],36
[1039260988862853121],29
[1039261078344085504],29
[1039261267385565184],28
[1039261367809855490],33
[1039261403285078017],17
[1039261502165975042],31
[1039261552363425792],20
[1039261591030693891],20
[1039261618377555969],57
[1039261639143436288],19
[1039261736912736258],20
[1039261751827750912],16
[1039261762833530880],20
[1039261797763694592],37
[1039261799026241538],20
[1039261802423611392],20
[1039261881532342274],29
[1039261907998453760],20
[1039261930102448128],31
[1039261950025318402],20
[1039261952235790339],33
[1039261962759225344],20
[1039262020728750080],20
[1039262095454416896],20
[1039262141394632706],20
[1039262144326447105],20
[1039262156892635136],27
[1039262168557019137],32
[1039262196956585985],16
[1039262223514984449],20
[1039262240547979271],17
[1039262309045207040],20
[1039262497482698756],36
[1039262499462422529],32
[1039262567422730240],28
[1039262864903745536],24
[1039262896679604224],17
[1039262958847705089],36
[1039263095938580480],17
[1039263179451326464],39
[1039263288385658880],23
[1039263389506256896],17
[1039263421525622785],23
[1039263544917864450],29
[1039263653533499393],33
[1039263682696425474],37
[1039263693723197440],30
[1039263700669145089],39
[1039263757573214209],29
[1039263869133307906],16
[1039263996426289152],30
[1039264012389609473],8
[1039264023215333376],27
[1039264081960525824],36
[1039264168296304642],22
[1039264208729333763],18
[1039264287506587648],27
[1039264513017536512],21
[1039264628575035392],30
[1039264684715593728],23
[1039264791381110785],31
[1039264869973991429],16
[1039264886549819393],25
[1039264952731688961],16
[1039265007756824577],31
[1039265309285175297],29
[1039265527045283841],14
[1039265570988933122],22
[1039265669928378369],26
[1039265720356560903],48
[1039265765424340993],21
[1039265777453555712],18
[1039265873427492864],15
[1039265878435610624],35
[1039265936165883904],15
[1039265940121112576],26
[1039266005850120192],29
[1039266045708705792],37
[1039266076805222402],29
[1039266200256163841],33
[1039266306720129024],36
[1039266446466080768],33
[1039266453743124480],71
[1039266577345118208],33
[1039266816588050432],25
[1039266942069170177],21
[1039266957525176322],26
[1039266982124773377],16
[1039267032498286593],27
[1039267047262367744],31
[1039267102480392192],29
[1039267121891397632],33
[1039267207581196288],20
[1039267235121033218],30
[1039267287960670208],14
[1039267339152191488],30
[1039267542131453952],31
[1039267626097303553],23
[1039267648025059328],14
[1039267660691898368],23
[1039267836504551425],25
[1039267866170798082],29
[1039268051693305856],30
[1039268090402537472],33
[1039268105212633089],33
[1039268145117233152],36
[1039268222154027008],29
[1039268321709805568],32
[1039268469353668608],37
[1039268511430922246],20
[1039268575930925056],24
[1039268767715475456],21
[1039268791014776832],22
[1039268823344603136],23
[1039268903615180800],29
[1039268970791092224],29
[1039269037908353024],30
[1039269177469689856],25
[1039269240342233090],24
[1039269387474280450],75
[1039269495821426689],47
[1039269591350894594],24
[1039269622787129344],26
[1039269732149387264],24
[1039269747529895936],18
[1039269812390834176],17
[1039269985825304577],28
[1039270048488202241],34
[1039270076942311426],21
[1039270149155479553],45
[1039270169699344384],26
[1039270222568607746],11
[1039270244148293633],36
[1039270255917522945],15
[1039270320304214017],24
[1039270345843212288],18
[1039270471349547019],42
[1039270526105972736],36
[1039270824405073920],12
[1039270846609543168],27
[1039270915748577281],18
[1039271118257905664],30
[1039271162063155201],40
[1039271208733364224],17
[1039271244271628294],37
[1039271253721276416],32
[1039271299577667584],56
[1039271533485666304],13
[1039271584891129863],33
[1039271603442511873],17
[1039271797785387008],21
[1039271841809002496],40
[1039271880530821125],27
[1039271988454457347],22
[1039272233263222784],25
[1039272270164840448],19
[1039272306265210881],21
[1039272347440750592],14
[1039272349479120898],17
[1039272452126375936],28
[1039272490705596416],28
[1039272568358875138],28
[1039272579746414594],23
[1039272862409007105],17
[1039272906105085952],33
[1039272968457728000],33
[1039272994235994114],24
[1039273109172482059],34
[1039273159088697344],30
[1039273288109776896],22
[1039273349791326208],32
[1039273406221504512],29
[1039273462651449345],40
[1039273623352209411],32
[1039273653031108609],22
[1039273662631702529],21
[1039273696417001473],21
[1039273814629273601],21
[1039273860150030337],19
[1039273953422974977],17
[1039274301441101824],25
[1039274528126509056],18
[1039274562716938240],13
[1039274740798640129],17
[1039274819605417985],14
[1039274843567542272],36
[1039274892947021824],36
[1039274900060614656],36
[1039274965131042816],36
[1039274974115241985],25
[1039275086824591360],14
[1039275315573469185],17
[1039275347286679553],20
[1039275357130706944],17
[1039275360884596736],23
[1039275453280870405],35
[1039275460365099008],62
[1039275474474729473],25
[1039275703047544832],26
[1039275921872773121],34
[1039275986544545792],41
[1039276142136623104],25
[1039276281228156930],68
[1039276391542472710],35
[1039276465957871616],24
[1039276479954276353],22
[1039276514867638272],34
[1039276933052354560],26
[1039276953549856769],36
[1039277051684036608],22
[1039277067567677447],34
[1039277175713742848],15
[1039277251899138048],32
[1039277290310586368],15
[1039277323101585409],16
[1039277466357919744],57
[1039277760311635969],20
[1039277815701688320],26
[1039277909696032773],26
[1039278022766063619],27
[1039278042659663873],31
[1039278109864931329],38
[1039278363674923008],28
[1039278580981592065],32
[1039278581669666816],19
[1039278632777146368],27
[1039278780571955201],35
[1039278992791166981],22
[1039279439941718016],20
[1039279544895725570],23
[1039279611777933312],17
[1039279691352481792],36
[1039279821111676934],30
[1039279894339956737],18
[1039279959603335168],17
[1039279968897970178],31
[1039280035507724290],17
[1039280054893768705],32
[1039280161055825920],34
[1039280161403936769],25
[1039280321760559104],22
[1039280405910827008],25
[1039280488517644288],23
[1039280575981514753],23
[1039280588405071873],23
[1039280725957193728],31
[1039280752398151681],12
[1039280757531758594],24
[1039280779124256771],21
[1039280792088834048],17
[1039280871780610049],51
[1039280929393405952],33
[1039280954051895296],29
[1039281061858091010],68
[1039281151867674625],17
[1039281652600471552],28
[1039281672603295744],21
[1039281683093053440],17
[1039281726403567616],25
[1039281876295450624],25
[1039281972940435456],28
[1039282095896571904],26
[1039282100778745857],41
[1039282105828745216],33
[1039282220714942464],23
[1039282229313253376],21
[1039282332618907649],29
[1039282374582984704],18
[1039282390408024064],24
[1039282447962329088],25
[1039282626383826946],28
[1039282658168262656],22
[1039282758957379586],29
[1039282762660962304],19
[1039282779161284608],20
[1039282919116824578],34
[1039282924712087552],22
[1039282937974411265],27
[1039283128081281024],31
[1039283166249242624],19
[1039283189766868992],20
[1039283197526327296],17
[1039283331173515264],17
[1039283487990312960],29
[1039283527420981248],35
[1039283545473204224],43
[1039283560488681472],33
[1039283639794786306],29
[1039283656278376453],34
[1039283670794821632],33
[1039283889448075264],81
[1039283901624188928],77
[1039283975200665600],17
[1039284032146681857],30
[1039284190003556352],30
[1039284206856286208],28
[1039284237285896194],21
[1039284254453063683],14
[1039284275001126913],36
[1039284336116170752],48
[1039284347302342656],23
[1039284481159512064],30
[1039284542224429056],30
[1039284655596490753],16
[1039284702186754048],14
[1039284720255856640],23
[1039284858277773313],31
[1039284914259148800],24
[1039285025802543104],20
[1039285165942554631],25
[1039285184477184000],39
[1039285281365606400],30
[1039285406079098882],30
[1039285414417166336],24
[1039285516993290240],30
[1039285556654604290],32
[1039285584492158976],23
[1039285681053294592],23
[1039285771293749248],25
[1039285789698469889],37
[1039285938155864065],23
[1039285945114259456],30
[1039286168100200448],23
[1039286284244721665],21
[1039286288426393600],26
[1039286337612836869],17
[1039286389802770435],46
[1039286475194617856],32
[1039286574691708928],32
[1039286633261162496],38
[1039286776530124800],34
[1039286924383531013],32
[1039286936530124800],30
[1039287029740261376],31
[1039287073578991616],33
[1039287162796224513],21
[1039287168261386240],26
[1039287261563629568],28
[1039287277200060416],28
[1039287347177775107],15
[1039287462949019648],29
[1039287603546214400],21
[1039287647225700353],29
[1039287679047753728],27
[1039287774954881024],27
[1039287787101605889],14
[1039287830441324545],23
[1039287845033263104],26
[1039287853098979328],35
[1039287875744006145],26
[1039287926268420097],23
[1039288083173306370],17
[1039288163171278857],23
[1039288243294883840],21
[1039288290631987201],15
[1039288311947436037],17
[1039288420785213440],38
[1039288557976924160],30
[1039288886479015936],38
[1039288929931931651],32
[1039289078511022081],31
[1039289164217217024],17
[1039289248858423296],19
[1039289258194944000],19
[1039289427820859392],28
[1039289430194966529],25
[1039289443654529024],20
[1039289469675954177],19
[1039289495466717186],19
[1039289531734708224],15
[1039289575007350784],35
[1039289667710083072],22
[1039289677444993026],22
[1039289712253526016],19
[1039289718893158401],19
[1039289737276809216],41
[1039289762778165250],19
[1039289774002106369],19
[1039289781665128448],15
[1039289785842651137],19
[1039289914423214080],21
[1039289949881806849],19
[1039289973944377344],18
[1039290025979113475],19
[1039290060309491717],19
[1039290067158802433],19
[1039290081146810373],19
[1039290214743724032],19
[1039290223316819969],19
[1039290344020557824],19
[1039290520923648001],22
[1039290628545421314],16
[1039290860570140672],21
[1039290865519353857],25
[1039290885572194305],30
[1039291202900779009],16
[1039291382412783622],28
[1039291450746396673],16
[1039291575522619394],19
[1039291600491274240],29
[1039291698390749186],29
[1039291724831567872],26
[1039291782163443712],24
[1039291855911964677],16
[1039291937054846976],18
[1039291955002396672],42
[1039292078373711872],50
[1039292158765875202],35
[1039292176612683776],21
[1039292211576414209],19
[1039292396356464640],31
[1039292494654189568],35
[1039292527860436993],33
[1039292589520891904],32
[1039292644768145408],25
[1039292684001792006],22
[1039292709419155457],22
[1039292877938012161],43
[1039293250232672261],25
[1039293331346542592],23
[1039293379182579713],27
[1039293411512086528],34
[1039293573299150848],28
[1039293579208941568],36
[1039293583969288192],17
[1039293599404314625],30
[1039293775170830336],19
[1039293828103106560],24
[1039293899552874497],30
[1039293984315588608],37
[1039294083292975105],34
[1039294083611512832],43
[1039294363531202560],38
[1039294785910124544],35
[1039294802360184834],29
[1039295000146788352],23
[1039295028663910403],30
[1039295041003507713],27
[1039295055897485312],15
[1039295079142252544],32
[1039295119969542144],22
[1039295340719951872],26
[1039295581280264192],41
[1039295602784460801],19
[1039295652130435073],35
[1039295657390092289],36
[1039295727585898496],28
[1039295801283862528],23
[1039296122437689344],19
[1039296135746269184],22
[1039296160287084550],21
[1039296250380791808],28
[1039296294781562880],68
[1039296339383906305],34
[1039296364327387138],21
[1039296371600306177],26
[1039296485152751619],28
[1039296518866526209],29
[1039296529222098944],31
[1039296539238256640],24
[1039296665184698368],20
[1039296671123992576],22
[1039296744855465984],13
[1039296836698292224],41
[1039296873021022210],28
[1039296902884466688],36
[1039296916088147969],34
[1039296935557918721],77
[1039296975039016961],11
[1039297153825366016],16
[1039297154378948609],58
[1039297315239067648],14
[1039297424567816198],23
[1039297438576717825],13
[1039297575973801985],27
[1039298007072759808],28
[1039298050185945088],17
[1039298409893642240],21
[1039298485873459200],15
[1039298573060530177],27
[1039298652026621954],26
[1039298786852515858],27
[1039298912295759872],28
[1039298931371532289],24
[1039299208304447488],31
[1039299249266143232],15
[1039299253242195968],22
[1039299259215110145],23
[1039299289334206464],33
[1039299370078810112],30
[1039299539105079297],31
[1039299682432897024],36
[1039299747297861633],28
[1039299926482661377],27
[1039300049111539712],40
[1039300202920910849],27
[1039300232364941312],33
[1039300334936633345],22
[1039300336698236928],28
[1039300379870158848],25
[1039300548086779906],32
[1039300719990501376],25
[1039300735282896896],18
[1039300865373491200],27
[1039301252990083074],33
[1039301331830427648],20
[1039301536944406528],21
[1039301801172979712],21
[1039302014495272961],21
[1039302203201282048],34
[1039302244586467334],28
[1039302249812348929],20
[1039302462308380673],22
[1039302496722796546],26
[1039302526854737920],23
[1039302569955192832],32
[1039302761920258049],12
[1039302876198252544],30
[1039303028459823104],26
[1039303046612713472],30
[1039303048311361536],37
[1039303100568403968],31
[1039303204939411456],31
[1039303257129185280],23
[1039303402742665221],24
[1039303523895107586],31
[1039303677545271296],36
[1039303693177376768],29
[1039304054130843649],27
[1039304217285087234],33
[1039304241112920064],28
[1039304256950394882],29
[1039304281155878912],20
[1039304305445093376],19
[1039304423715954688],32
[1039304589076512768],28
[1039304613932032000],28
[1039304813610250240],28
[1039305183518318592],22
[1039305199540682752],27
[1039305219438391296],28
[1039305282604675072],29
[1039305352204955651],27
[1039305420207259649],27
[1039305421520089089],53
[1039305522975891456],22
[1039305580907769856],53
[1039305645093257218],27
[1039306118458171392],29
[1039306174993186816],32
[1039306200725291009],33
[1039306342861889537],58
[1039306414051733504],27
[1039306532632944640],41
[1039306633707307008],29
[1039306840499277825],30
[1039306865580986368],19
[1039306938704691200],27
[1039306982577106949],17
[1039306991846473728],28
[1039307044010975232],24
[1039307045273579520],36
[1039307072674906112],23
[1039307133127282688],36
[1039307135383793664],20
[1039307189339467777],26
[1039307204925509634],39
[1039307216673800193],41
[1039307246767882240],26
[1039307258134441984],18
[1039307382218735616],32
[1039307466977079296],29
[1039307663635505152],23
[1039307685391486978],22
[1039307751762141184],35
[1039307955940851712],35
[1039307993672818690],24
[1039308134974509056],19
[1039308271000215552],21
[1039308465120980992],26
[1039308619609763840],20
[1039308620771602432],25
[1039308679013576704],35
[1039308716141670402],35
[1039308757510094848],18
[1039308766498484225],25
[1039308860048244736],23
[1039308868948381696],17
[1039308952910135298],26
[1039308991548076032],17
[1039309006567698432],27
[1039309195194064897],26
[1039309277159194624],35
[1039309277670850560],17
[1039309308884905986],29
[1039309486454755329],19
[1039309532919476224],32
[1039309551651184641],19
[1039309572396085248],34
[1039309622895685632],32
[1039309644638969856],20
[1039309666260406275],36
[1039309684228976645],20
[1039309730349543430],27
[1039309730693435396],41
[1039309763983691776],26
[1039309814491435008],23
[1039310003155476481],32
[1039310050991296514],14
[1039310207409643521],25
[1039310490533605377],17
[1039310525002379264],24
[1039310578144161794],11
[1039310611832659968],27
[1039310721341902849],34
[1039310733291319296],36
[1039311058018729986],24
[1039311074212765697],18
[1039311299660972032],18
[1039311415410978816],34
[1039311627105886208],25
[1039311744110350336],36
[1039311835835428865],29
[1039311850356334592],39
[1039312017008427008],19
[1039312265273634816],28
[1039312471960576003],20
[1039312595109519360],17
[1039312793072230401],43
[1039312892313694208],14
[1039313222845644801],22
[1039313341980848128],28
[1039313345575247873],21
[1039313437015326720],30
[1039313455600136192],24
[1039313638186729472],32
[1039313707719962625],16
[1039313743916744704],37
[1039313773197242370],24
[1039313905888243715],35
[1039314132623708160],29
[1039314137363480576],37
[1039314226765017089],45
[1039314299712425984],30
[1039314306356064256],19
[1039314429983318017],22
[1039314495879950337],26
[1039314550367997952],28
[1039314559280926720],21
[1039314666105655296],15
[1039314864366387200],20
[1039314887539863555],18
[1039315301656158208],17
[1039315326721187840],31
[1039315402080354306],31
[1039315578371100673],30
[1039315587032379394],23
[1039315589238542339],18
[1039315623921295360],29
[1039315629545807874],39
[1039315643932311553],31
[1039315644158799872],26
[1039315681844580358],31
[1039315710537883650],32
[1039315746864672768],26
[1039315766959591424],32
[1039315799348072450],31
[1039315860945625088],23
[1039315892616798210],32
[1039315910069248000],37
[1039316118631010304],33
[1039316153531752450],29
[1039316155784220672],28
[1039316255205978113],20
[1039316331554918403],24
[1039316393848721408],35
[1039316439721684993],34
[1039316540506746880],28
[1039316605329727489],31
[1039316775559725057],36
[1039316811353866240],32
[1039316852550369281],35
[1039316855574458368],20
[1039317073124581378],26
[1039317138379624448],32
[1039317171258761216],29
[1039317317560098817],30
[1039317430311497728],29
[1039317487542665217],27
[1039317503950782464],25
[1039317600994504704],24
[1039317639078658048],21
[1039317735874936832],21
[1039317847611195392],16
[1039317859476824066],35
[1039317946466807808],37
[1039317983850635265],25
[1039318003169427456],27
[1039318021880201217],19
[1039318411925311489],37
[1039318464517689344],30
[1039318493966028800],26
[1039318498156204032],31
[1039318544452931586],22
[1039318652061769730],27
[1039318744378626055],19
[1039318784077717504],23
[1039318911534022656],26
[1039318924435832832],22
[1039318947659739136],28
[1039319048662786048],33
[1039319149489647623],28
[1039319152513757184],26
[1039319291307479040],26
[1039319335347646466],28
[1039319375042490370],35
[1039319461734494208],28
[1039319486782943235],21
[1039319591464394752],24
[1039319605297143808],28
[1039319651170299906],14
[1039319901725511680],18
[1039319942162776065],33
[1039320030570151936],36
[1039320134643531778],19
[1039320229711622144],29
[1039320262632722432],25
[1039320600253280256],14
[1039320620293611520],28
[1039320635560738816],19
[1039320751764066305],15
[1039320959293878272],55
[1039321136675336192],53
[1039321209442316288],31
[1039321576204787713],17
[1039321672736800768],20
[1039321733201883136],16
[1039321891717169152],20
[1039321986311356416],33
[1039322183951179776],34
[1039322196093677568],25
[1039322428432961539],21
[1039322526420103168],38
[1039322590316126209],24
[1039323030738984961],34
[1039323089744613376],26
[1039323252072431617],21
[1039323404527005697],33
[1039323432851308549],31
[1039323457887129600],34
[1039323493572272129],31
[1039323506712821762],29
[1039323575096934401],30
[1039323681346936832],34
[1039323725710032897],23
[1039324128631816193],19
[1039324304624635905],39
[1039324335129780224],24
[1039324400380772352],27
[1039324406835638272],26
[1039324676810366976],17
[1039324943182450688],30
[1039325034756562944],36
[1039325158752878592],14
[1039325214784585739],24
[1039325218244681729],30
[1039325288650420226],32
[1039325307633717248],16
[1039325334959583232],32
[1039325388852420608],33
[1039325542712070145],22
[1039325544192638976],28
[1039325707892142080],35
[1039325726154084352],36
[1039325740523823105],16
[1039325752112500736],40
[1039325797671227393],31
[1039325833150717952],34
[1039325984628006912],29
[1039326060276531200],33
[1039326146524049408],39
[1039326196847140864],30
[1039326369954418688],37
[1039326509461393408],15
[1039326794883641345],31
[1039326902232801281],35
[1039326931156709376],37
[1039326991982387200],38
[1039327033229303810],32
[1039327084500463616],31
[1039327096789762048],37
[1039327172136235008],27
[1039327395302522880],22
[1039327521991323648],31
[1039327556418322432],35
[1039327695627214849],26
[1039327707543339009],38
[1039327745451454464],31
[1039328177628303360],39
[1039328590913929216],38
[1039328606025990144],41
[1039329001200910336],32
[1039329116804341760],29
[1039329152560713728],28
[1039329202611347456],25
[1039329304012705792],40
[1039329322543149056],21
[1039329336069746688],28
[1039329341639942144],48
[1039329757253566465],29
[1039329767722545152],31
[1039329850996207616],29
[1039329905480290304],29
[1039329991131979776],37
[1039330017027784704],24
[1039330024200040449],29
[1039330321064501248],18
[1039330361648410624],25
[1039330361757585409],31
[1039330427721474048],32
[1039330465151430656],20
[1039330566716440581],18
[1039330567785832451],24
[1039330615785672706],29
[1039330629589127169],28
[1039330790331625475],43
[1039330861072691201],30
[1039330869675053057],32
[1039331130107805697],19
[1039331170356539393],35
[1039331183996428289],89
[1039331343115546624],42
[1039331460061294592],18
[1039331522858299397],21
[1039331562834329602],41
[1039331591728910337],21
[1039331783219851264],37
[1039331793336496128],31
[1039331959397265408],19
[1039331986324697089],27
[1039332119162613761],41
[1039332274402209792],31
[1039332443969527808],27
[1039332561154125825],18
[1039332627512086529],18
[1039332678892318721],16
[1039332678905094144],41
[1039332716465070080],34
[1039332739051384834],25
[1039332741379174400],19
[1039332794487459840],28
[1039332982845317121],14
[1039333078211018753],18
[1039333262307422209],18
[1039333444289875969],39
[1039333464867262464],22
[1039333516012605442],19
[1039333551412412417],39
[1039333761890934785],25
[1039333872784289794],26
[1039333902001872897],24
[1039334020037963776],27
[1039334188044955648],28
[1039334206881460224],33
[1039334220391489536],34
[1039334304143167490],27
[1039334457256361984],15
[1039334470145503240],36
[1039334614664396800],19
[1039334686802231301],19
[1039334730091520000],24
[1039334751423758336],32
[1039335022820552704],19
[1039335026641514497],20
[1039335114772234243],68
[1039335347820417025],39
[1039335520466345985],27
[1039335688586637312],31
[1039335771042283526],15
[1039335786330693632],31
[1039335893474177024],15
[1039335917536858113],22
[1039335927594795009],34
[1039335941637206016],12
[1039335955348578310],22
[1039336133484838913],27
[1039336193723387908],77
[1039336264623960065],34
[1039336383817674753],30
[1039336425873965056],33
[1039336455456284675],26
[1039336555494735872],22
[1039336579121270785],15
[1039336654153150464],31
[1039336907988189184],15
[1039336961201381377],23
[1039337009171451911],17
[1039337140960804865],39
[1039337240453885952],19
[1039337336360902663],22
[1039337505324187648],34
[1039337660806918144],29
[1039337690812964864],23
[1039337723247517697],33
[1039337752389668865],18
[1039337752771194880],35
